id,gender,age_group,goc
1,Men,Middle,Mid
2,Women,Middle,High
3,Men,Middle,Low
4,Women,Middle,Mid
5,Men,Middle,High
6,Women,Young,Low
7,Women,Older,Low
8,Men,Middle,High
9,Women,Young,Low
10,Women,Middle,High
11,Women,Young,Mid
12,Women,Older,High
13,Women,Older,High
14,Women,Older,Mid
15,Women,Older,Low
16,Women,Middle,Mid
17,Women,Older,Mid
18,Women,Older,Mid
19,Women,Middle,Low
20,Women,Young,Mid
21,Women,Older,Mid
22,Women,Young,Mid
23,Women,Young,Low
24,Women,Older,High
25,Women,Older,High
26,Women,Young,Mid
27,Men,Middle,Mid
28,Women,Older,Mid
29,Women,Older,High
30,Women,Older,Mid
31,Women,Young,Low
32,Women,Middle,Low
33,Men,Middle,Mid
34,Women,Young,Mid
35,Men,Middle,Mid
36,Women,Older,Mid
37,Women,Older,High
38,Women,Young,High
39,Women,Older,High
40,Women,Young,Low
41,Men,Middle,Low
42,Women,Young,Mid
43,Women,Older,Low
44,Men,Middle,High
45,Women,Young,Mid
46,Women,Young,Mid
47,Women,Older,Low
48,Women,Older,Mid
49,Women,Young,High
50,Women,Young,Low
51,Women,Young,Low
52,Women,Middle,Mid
53,Women,Young,Low
54,Women,Older,Low
55,Women,Young,Low
56,Women,Young,Low
57,Women,Young,Low
58,Women,Middle,Low
59,Women,Middle,Low
60,Women,Young,Low
61,Women,Middle,Mid
62,Men,Middle,Low
63,Men,Middle,Low
64,Women,Middle,Mid
65,Men,Middle,Mid
66,Men,Middle,High
67,Women,Young,Low
68,Women,Older,Low
69,Women,Young,Low
70,Women,Older,Low
71,Women,Young,Mid
72,Women,Young,Low
73,Women,Older,Mid
74,Women,Older,Low
75,Men,Middle,Mid
76,Women,Middle,Mid
77,Women,Middle,Low
78,Women,Young,Mid
79,Women,Older,Mid
80,Women,Middle,Low
81,Women,Older,Mid
82,Women,Older,Mid
83,Women,Older,High
84,Women,Middle,High
85,Women,Older,Mid
86,Women,Older,High
87,Women,Older,High
88,Women,Older,High
89,Women,Young,Low
90,Women,Middle,Mid
91,Men,Middle,Low
92,Women,Middle,Low
93,Women,Middle,Low
94,Women,Young,Mid
95,Men,Middle,Low
96,Women,Older,Low
97,Women,Young,Mid
98,Women,Young,Low
99,Women,Older,Low
100,Women,Young,Mid
101,Women,Older,Mid
102,Women,Middle,High
103,Women,Young,Mid
104,Women,Young,High
105,Women,Older,Low
106,Women,Young,Mid
107,Women,Middle,Mid
108,Women,Young,Low
109,Women,Older,Low
110,Women,Older,Mid
111,Women,Young,Mid
112,Women,Older,High
113,Women,Older,Mid
114,Women,Young,Mid
115,Men,Middle,Low
116,Women,Older,Low
117,Women,Middle,High
118,Women,Young,High
119,Women,Young,Low
120,Men,Middle,High
121,Women,Older,Mid
122,Men,Middle,Mid
123,Women,Middle,Low
124,Women,Older,High
125,Women,Middle,Low
126,Men,Middle,Low
127,Women,Young,Low
128,Women,Older,High
129,Women,Young,Low
130,Women,Older,High
131,Women,Older,Mid
132,Women,Young,Low
133,Women,Older,High
134,Men,Middle,Low
135,Women,Older,Low
136,Women,Young,High
137,Men,Middle,Low
138,Women,Older,Low
139,Women,Young,High
140,Women,Older,Low
141,Men,Middle,Mid
142,Women,Older,Mid
143,Women,Young,Mid
144,Women,Older,High
145,Women,Young,High
146,Men,Middle,High
147,Women,Young,Low
148,Women,Older,Low
149,Women,Older,Mid
150,Women,Older,Low
151,Women,Older,High
152,Women,Middle,Mid
153,Women,Older,Mid
154,Women,Young,High
155,Women,Older,Low
156,Women,Young,High
157,Women,Middle,Low
158,Women,Older,Low
159,Women,Older,Mid
160,Women,Young,Low
161,Women,Young,Low
162,Women,Older,Low
163,Women,Young,Low
164,Women,Young,Mid
165,Women,Young,High
166,Women,Young,Low
167,Men,Middle,Mid
168,Women,Older,Mid
169,Men,Middle,High
170,Men,Middle,Low
171,Women,Older,High
172,Women,Young,Low
173,Women,Young,Low
174,Women,Older,Mid
175,Women,Older,Mid
176,Women,Older,Low
177,Women,Young,Low
178,Women,Young,Low
179,Women,Young,Mid
180,Women,Older,Mid
181,Women,Older,Low
182,Women,Older,Mid
183,Women,Older,High
184,Women,Older,Low
